date_key,date,year,quarter,month,month_name,week,day,day_of_week,is_weekend,is_holiday,fiscal_quarter,fiscal_period
1,2022-01-01,2022,1,1,January,52,1,Saturday,True,True,1,2022-Q1
2,2022-01-02,2022,1,1,January,52,2,Sunday,True,False,1,2022-Q1
3,2022-01-03,2022,1,1,January,1,3,Monday,False,False,1,2022-Q1
4,2022-01-04,2022,1,1,January,1,4,Tuesday,False,False,1,2022-Q1
5,2022-01-05,2022,1,1,January,1,5,Wednesday,False,False,1,2022-Q1
6,2022-01-06,2022,1,1,January,1,6,Thursday,False,False,1,2022-Q1
7,2022-01-07,2022,1,1,January,1,7,Friday,False,False,1,2022-Q1
8,2022-01-08,2022,1,1,January,1,8,Saturday,True,False,1,2022-Q1
9,2022-01-09,2022,1,1,January,1,9,Sunday,True,False,1,2022-Q1
10,2022-01-10,2022,1,1,January,2,10,Monday,False,False,1,2022-Q1
11,2022-01-11,2022,1,1,January,2,11,Tuesday,False,False,1,2022-Q1
12,2022-01-12,2022,1,1,January,2,12,Wednesday,False,False,1,2022-Q1
13,2022-01-13,2022,1,1,January,2,13,Thursday,False,False,1,2022-Q1
14,2022-01-14,2022,1,1,January,2,14,Friday,False,False,1,2022-Q1
15,2022-01-15,2022,1,1,January,2,15,Saturday,True,False,1,2022-Q1
16,2022-01-16,2022,1,1,January,2,16,Sunday,True,False,1,2022-Q1
17,2022-01-17,2022,1,1,January,3,17,Monday,False,False,1,2022-Q1
18,2022-01-18,2022,1,1,January,3,18,Tuesday,False,False,1,2022-Q1
19,2022-01-19,2022,1,1,January,3,19,Wednesday,False,False,1,2022-Q1
20,2022-01-20,2022,1,1,January,3,20,Thursday,False,False,1,2022-Q1
21,2022-01-21,2022,1,1,January,3,21,Friday,False,False,1,2022-Q1
22,2022-01-22,2022,1,1,January,3,22,Saturday,True,False,1,2022-Q1
23,2022-01-23,2022,1,1,January,3,23,Sunday,True,False,1,2022-Q1
24,2022-01-24,2022,1,1,January,4,24,Monday,False,False,1,2022-Q1
25,2022-01-25,2022,1,1,January,4,25,Tuesday,False,False,1,2022-Q1
26,2022-01-26,2022,1,1,January,4,26,Wednesday,False,False,1,2022-Q1
27,2022-01-27,2022,1,1,January,4,27,Thursday,False,False,1,2022-Q1
28,2022-01-28,2022,1,1,January,4,28,Friday,False,False,1,2022-Q1
29,2022-01-29,2022,1,1,January,4,29,Saturday,True,False,1,2022-Q1
30,2022-01-30,2022,1,1,January,4,30,Sunday,True,False,1,2022-Q1
31,2022-01-31,2022,1,1,January,5,31,Monday,False,False,1,2022-Q1
32,2022-02-01,2022,1,2,February,5,1,Tuesday,False,False,1,2022-Q1
33,2022-02-02,2022,1,2,February,5,2,Wednesday,False,False,1,2022-Q1
34,2022-02-03,2022,1,2,February,5,3,Thursday,False,False,1,2022-Q1
35,2022-02-04,2022,1,2,February,5,4,Friday,False,False,1,2022-Q1
36,2022-02-05,2022,1,2,February,5,5,Saturday,True,False,1,2022-Q1
37,2022-02-06,2022,1,2,February,5,6,Sunday,True,False,1,2022-Q1
38,2022-02-07,2022,1,2,February,6,7,Monday,False,False,1,2022-Q1
39,2022-02-08,2022,1,2,February,6,8,Tuesday,False,False,1,2022-Q1
40,2022-02-09,2022,1,2,February,6,9,Wednesday,False,False,1,2022-Q1
41,2022-02-10,2022,1,2,February,6,10,Thursday,False,False,1,2022-Q1
42,2022-02-11,2022,1,2,February,6,11,Friday,False,False,1,2022-Q1
43,2022-02-12,2022,1,2,February,6,12,Saturday,True,False,1,2022-Q1
44,2022-02-13,2022,1,2,February,6,13,Sunday,True,False,1,2022-Q1
45,2022-02-14,2022,1,2,February,7,14,Monday,False,False,1,2022-Q1
46,2022-02-15,2022,1,2,February,7,15,Tuesday,False,False,1,2022-Q1
47,2022-02-16,2022,1,2,February,7,16,Wednesday,False,False,1,2022-Q1
48,2022-02-17,2022,1,2,February,7,17,Thursday,False,False,1,2022-Q1
49,2022-02-18,2022,1,2,February,7,18,Friday,False,False,1,2022-Q1
50,2022-02-19,2022,1,2,February,7,19,Saturday,True,False,1,2022-Q1
51,2022-02-20,2022,1,2,February,7,20,Sunday,True,False,1,2022-Q1
52,2022-02-21,2022,1,2,February,8,21,Monday,False,False,1,2022-Q1
53,2022-02-22,2022,1,2,February,8,22,Tuesday,False,False,1,2022-Q1
